carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,mahal_d_axe,mahal_d_mushroom,lda_p_mushroom,closer_to
F630,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.002,17.4,5.3,5.3,0.829,1.081,0.925,0.928,,,,
F622,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.002,19.6,6.1,5.3,0.568,1.234,0.811,0.764,,,,
F623,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.002,21.7,7.6,5.5,0.609,1.218,0.821,0.779,,,,
F720,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.002,24.5,7.3999999999999995,7.000000000000001,0.476,1.139,0.878,0.678,,,,
F612,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,24.099999999999998,6.800000000000001,7.3999999999999995,0.599,1.337,0.748,0.773,,,,
F616,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.003,25.1,6.6000000000000005,7.8,0.621,1.311,0.763,0.812,,,,
F621,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,26.200000000000003,7.6,7.8,0.489,1.542,0.649,0.707,,,,
F624,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,27.3,8.200000000000001,8.0,0.514,1.323,0.756,0.715,,,,
F628,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.004,29.4,9.0,8.200000000000001,0.523,1.32,0.758,0.731,,,,
F608,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,26.0,7.6,8.200000000000001,0.575,1.396,0.716,0.756,,,,
F627,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,29.299999999999997,8.0,8.4,0.485,1.397,0.716,0.705,,,,
F597,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.003,36.3,10.2,8.6,0.332,1.085,0.922,0.571,,,,
F595,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.004,33.6,10.2,8.6,0.43,1.135,0.881,0.66,,,,
F636,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.004,28.599999999999998,8.200000000000001,8.799999999999999,0.566,1.47,0.68,0.748,,,,
F617,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,27.3,7.000000000000001,9.0,0.52,1.53,0.654,0.726,,,,
F629,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,28.000000000000004,7.199999999999999,9.0,0.479,1.663,0.601,0.708,,,,
F603,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,27.900000000000002,7.000000000000001,9.0,0.541,1.812,0.552,0.745,,,,
F605,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,28.4,7.3999999999999995,9.2,0.508,1.572,0.636,0.715,,,,
F620,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.005,29.9,8.4,9.4,0.639,1.23,0.813,0.819,,,,
F638,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.004,30.7,8.6,9.4,0.469,1.355,0.738,0.682,,,,
F625,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,27.400000000000002,6.4,9.6,0.469,1.984,0.504,0.73,,,,
F614,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.004,36.1,9.6,10.0,0.413,1.127,0.887,0.65,,,,
F637,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.003,31.7,8.200000000000001,10.2,0.401,1.672,0.598,0.619,,,,
F632,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.006,37.3,12.5,10.2,0.535,2.064,0.485,0.818,,,,
F634,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.004,33.800000000000004,9.2,10.5,0.409,1.527,0.655,0.663,,,,
F607,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.005,39.2,10.5,10.7,0.444,1.282,0.78,0.697,,,,
F604,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.005,29.2,6.1,10.7,0.68,2.091,0.478,0.923,,,,
F626,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.003,35.199999999999996,8.799999999999999,10.9,0.347,1.713,0.584,0.57,,,,
F618,53,Lomas 2021 ImageJ,0.0,1.0,,,,,,0.004,38.9,8.6,12.7,0.345,2.346,0.426,0.621,,,,
F609,53,Lomas 2021 ImageJ,1.0,1.0,,,,,,0.004,48.699999999999996,11.700000000000001,13.3,0.223,1.963,0.509,0.467,,,,
F619,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.005,42.699999999999996,11.3,13.5,0.348,1.749,0.572,0.554,,,,
F602,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.005,39.900000000000006,9.0,13.5,0.355,2.338,0.428,0.586,,,,
F615,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.005,40.6,9.8,13.5,0.409,2.346,0.426,0.649,,,,
F606,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.007,40.5,9.4,13.900000000000002,0.529,2.165,0.462,0.775,,,,
F600,53,Lomas 2021 ImageJ,0.0,1.0,dagger,,,,,0.004,37.9,5.7,14.499999999999998,0.36,3.481,0.287,0.691,,,,
F631,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.007,43.8,9.8,15.4,0.442,2.429,0.412,0.696,,,,
F596,53,Lomas 2021 ImageJ,1.0,1.0,,,,,,0.01,59.4,15.0,16.0,0.348,1.4,0.714,0.653,,,,
F613,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.009,54.0,13.900000000000002,17.2,0.379,1.907,0.525,0.622,,,,
F601,53,Lomas 2021 ImageJ,1.0,1.0,,,,,,0.012,64.3,16.0,18.0,0.357,1.366,0.732,0.666,,,,
F610,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.01,55.7,11.700000000000001,19.900000000000002,0.391,2.581,0.387,0.658,,,,
F611,53,Lomas 2021 ImageJ,0.0,1.0,,,,,,0.009,79.4,10.0,30.099999999999998,0.183,5.372,0.186,0.5,,,,
s4_001,4,"Extracted (this study, from Stone4.tiff)",,,,6280.0,405.76450198781714,105.0,128.0,,,,,0.4793154266894882,1.4856636299060495,0.4786743275215031,0.740304137687139,,,,
s4_002,4,"Extracted (this study, from Stone4.tiff)",,,,19787.0,747.2447327281724,166.0,259.0,,,,,0.4453116868237563,1.8567105558110413,0.3809422810452361,0.719135017263311,,,,
s4_003,4,"Extracted (this study, from Stone4.tiff)",,,,6704.0,435.56349186104046,126.0,120.0,,,,,0.4440592570404076,1.3394669433125677,0.520794580312284,0.7053872053872053,,,,
s4_004,4,"Extracted (this study, from Stone4.tiff)",,,,13127.0,613.1025971044414,148.0,202.0,,,,,0.4388428609145003,1.8656616146574911,0.378352239991629,0.7047296934557363,,,,
s4_005,4,"Extracted (this study, from Stone4.tiff)",,,,8824.0,502.43354954612926,140.0,151.0,,,,,0.4392564029317069,1.2621451642645438,0.535383437792525,0.6877094536669005,,,,
s4_006,4,"Extracted (this study, from Stone4.tiff)",,,,26221.0,925.5117600329312,188.0,302.0,,,,,0.3846761240977007,2.423347175427284,0.2981747973239075,0.7013775578440551,,,,
s4_007,4,"Extracted (this study, from Stone4.tiff)",,,,15653.0,672.2741699796952,126.0,256.0,,,,,0.4352257665962289,2.752331383110805,0.2716035087079348,0.7775570016392628,,,,
s4_008,4,"Extracted (this study, from Stone4.tiff)",,,,10799.0,542.333044482741,155.0,138.0,,,,,0.4613826630164132,1.0093616259893865,0.7168959097498436,0.7373344257817834,,,,
s4_009,4,"Extracted (this study, from Stone4.tiff)",,,,8108.0,447.60512242138304,122.0,141.0,,,,,0.5085498236951422,1.4857451355641718,0.5060407630547797,0.7531116477800484,,,,
s4_010,4,"Extracted (this study, from Stone4.tiff)",,,,8070.0,486.1492782986673,138.0,131.0,,,,,0.4290857660265195,1.0365194864515714,0.6456133125991028,0.6800370776101795,,,,
s4_011,4,"Extracted (this study, from Stone4.tiff)",,,,7562.0,444.87720036002526,117.0,140.0,,,,,0.4801381767614552,1.5171426217138753,0.4958236670912642,0.7405013709361535,,,,
s4_012,4,"Extracted (this study, from Stone4.tiff)",,,,6144.0,410.63455967290594,109.0,131.0,,,,,0.4578783151054993,1.459275681974782,0.4837468683519272,0.7025728987993138,,,,
s4_013,4,"Extracted (this study, from Stone4.tiff)",,,,32552.0,967.6955262170048,211.0,317.0,,,,,0.4368276038666728,1.9509877623280785,0.3633180845971459,0.7251826768846907,,,,
s4_014,4,"Extracted (this study, from Stone4.tiff)",,,,7878.0,459.7056274847714,104.0,156.0,,,,,0.4684531893674786,1.951865247986112,0.3584687914382088,0.743979601473227,,,,
s4_015,4,"Extracted (this study, from Stone4.tiff)",,,,13391.0,602.5168106668145,139.0,207.0,,,,,0.4635371400959203,2.015836549760608,0.3637619258989387,0.7500280049288675,,,,
s4_016,4,"Extracted (this study, from Stone4.tiff)",,,,7328.0,493.5634918610405,108.0,173.0,,,,,0.3780152045933574,2.366858542361228,0.2659426067323997,0.640167729536123,,,,
