mushroom_id,source,area_px,perim_px,width_px,height_px,circularity,aspect_ratio,roundness,solidity
Amanita Muscaria Transected.tif,Bevan All data (ImageJ),45676.0,1635.43268,291.0,400.0,0.21460142,2.60134983,0.38441581,0.54570761
Amanita Muscaria.tif,Bevan All data (ImageJ),43699.0,1292.20519,278.0,397.0,0.32886556,2.10774182,0.47444141,0.60119416
bw2006-10-25_Amanita_muscaria_crop_.tif,Bevan All data (ImageJ),64185.0,1224.44783,303.0,400.0,0.53797592,1.44911942,0.69007425,0.78962423
bw2006-10-25_Amanita_muscaria_crop.tif,Bevan All data (ImageJ),67843.0,1542.51385,417.0,400.0,0.35830821,1.19725395,0.83524469,0.64574559
bw8695755407_944802f898_.tif,Bevan All data (ImageJ),77434.0,1285.99408,369.0,400.0,0.58838774,1.17564631,0.85059596,0.81772868
bw8695755407_944802f898_1.tif,Bevan All data (ImageJ),118427.0,1831.42554,641.0,400.0,0.44369247,1.73165957,0.57748071,0.74980135
bw8695755407_944802f898.tif,Bevan All data (ImageJ),65337.0,1510.43773,397.0,400.0,0.35988471,1.27153839,0.78644892,0.64947639
bwamanita-muscaria-4703173_1280_.tif,Bevan All data (ImageJ),64298.0,1225.88644,299.0,400.0,0.53765891,1.49607475,0.6684158,0.79972637
bwamanita-muscaria-4703173_1280.tif,Bevan All data (ImageJ),89619.0,1470.31284,446.0,400.0,0.5209433,1.11178448,0.89945491,0.76867128
bwamanita-muscaria10_.tif,Bevan All data (ImageJ),84346.0,1402.37172,398.0,400.0,0.53894949,1.11341141,0.89814061,0.78392847
bwamanita-muscaria10.tif,Bevan All data (ImageJ),61741.0,1406.5311,368.0,400.0,0.39217946,1.27211443,0.7860928,0.65537941
bwfly-agaric_.tif,Bevan All data (ImageJ),70255.0,1227.23463,297.0,400.0,0.58618122,1.46446993,0.68284092,0.83289864
bwfly-agaric-amanita-muscaria-toadstool-growing-on-moss-nordtirol-tirol-austrian-alps-austria-august-W7N6DJ.tif,Bevan All data (ImageJ),82503.0,1557.66818,414.0,400.0,0.42729687,1.24736346,0.80169095,0.7433138
bwFly-agaric-Amanita-muscaria-var-flavivolvata-FUN0332.tif,Bevan All data (ImageJ),73783.0,1568.23672,397.0,400.0,0.37700138,1.34151056,0.74542835,0.68220946
