carving_id,stone,source,multiclass_nearest
F630,53,Lomas 2021 ImageJ,tree
F622,53,Lomas 2021 ImageJ,tree
F623,53,Lomas 2021 ImageJ,tree
F720,53,Lomas 2021 ImageJ,tree
F612,53,Lomas 2021 ImageJ,tree
F616,53,Lomas 2021 ImageJ,tree
F621,53,Lomas 2021 ImageJ,mushroom
F624,53,Lomas 2021 ImageJ,tree
F628,53,Lomas 2021 ImageJ,tree
F608,53,Lomas 2021 ImageJ,tree
F627,53,Lomas 2021 ImageJ,mushroom
F597,53,Lomas 2021 ImageJ,mushroom
F595,53,Lomas 2021 ImageJ,tree
F636,53,Lomas 2021 ImageJ,tree
F617,53,Lomas 2021 ImageJ,mushroom
F629,53,Lomas 2021 ImageJ,mushroom
F603,53,Lomas 2021 ImageJ,human
F605,53,Lomas 2021 ImageJ,mushroom
F620,53,Lomas 2021 ImageJ,tree
F638,53,Lomas 2021 ImageJ,mushroom
F625,53,Lomas 2021 ImageJ,mushroom
F614,53,Lomas 2021 ImageJ,mushroom
F637,53,Lomas 2021 ImageJ,mushroom
F632,53,Lomas 2021 ImageJ,human
F634,53,Lomas 2021 ImageJ,mushroom
F607,53,Lomas 2021 ImageJ,mushroom
F604,53,Lomas 2021 ImageJ,human
F626,53,Lomas 2021 ImageJ,mushroom
F618,53,Lomas 2021 ImageJ,random
F609,53,Lomas 2021 ImageJ,mushroom
F619,53,Lomas 2021 ImageJ,mushroom
F602,53,Lomas 2021 ImageJ,random
F615,53,Lomas 2021 ImageJ,random
F606,53,Lomas 2021 ImageJ,human
F600,53,Lomas 2021 ImageJ,sickle
F631,53,Lomas 2021 ImageJ,random
F596,53,Lomas 2021 ImageJ,mushroom
F613,53,Lomas 2021 ImageJ,mushroom
F601,53,Lomas 2021 ImageJ,mushroom
F610,53,Lomas 2021 ImageJ,random
F611,53,Lomas 2021 ImageJ,halberd
s4_001,4,"Extracted (this study, from Stone4.tiff)",tree
s4_002,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_003,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_004,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_005,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_006,4,"Extracted (this study, from Stone4.tiff)",random
s4_007,4,"Extracted (this study, from Stone4.tiff)",axe
s4_008,4,"Extracted (this study, from Stone4.tiff)",tree
s4_009,4,"Extracted (this study, from Stone4.tiff)",tree
s4_010,4,"Extracted (this study, from Stone4.tiff)",tree
s4_011,4,"Extracted (this study, from Stone4.tiff)",tree
s4_012,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_013,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_014,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_015,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_016,4,"Extracted (this study, from Stone4.tiff)",random
s4_017,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_018,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_019,4,"Extracted (this study, from Stone4.tiff)",tree
s4_020,4,"Extracted (this study, from Stone4.tiff)",random
s4_021,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_022,4,"Extracted (this study, from Stone4.tiff)",tree
s4_023,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_024,4,"Extracted (this study, from Stone4.tiff)",tree
s4_025,4,"Extracted (this study, from Stone4.tiff)",tree
s4_026,4,"Extracted (this study, from Stone4.tiff)",tree
s4_027,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_028,4,"Extracted (this study, from Stone4.tiff)",tree
s4_029,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_030,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_031,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_032,4,"Extracted (this study, from Stone4.tiff)",tree
s4_033,4,"Extracted (this study, from Stone4.tiff)",random
s4_034,4,"Extracted (this study, from Stone4.tiff)",tree
s4_035,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_036,4,"Extracted (this study, from Stone4.tiff)",tree
s4_037,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_038,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_039,4,"Extracted (this study, from Stone4.tiff)",tree
s4_040,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_041,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_042,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_043,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_044,4,"Extracted (this study, from Stone4.tiff)",mushroom
s4_045,4,"Extracted (this study, from Stone4.tiff)",tree
s4_046,4,"Extracted (this study, from Stone4.tiff)",mushroom
