Circularity,Aspect Ratio,Roundness,Solidity
0.53850232,2.48909261,0.40175283,0.84310645
0.60613108,2.09048537,0.47835781,0.86648351
0.64431056,1.76486014,0.56661714,0.88394221
0.53197767,3.36456759,0.29721501,0.90304632
0.41809009,2.80107203,0.35700617,0.71517586
0.58306235,2.019985,0.49505318,0.89448871
0.46794147,2.6913688,0.37155814,0.74385166
0.5177096,3.2017488,0.31232931,0.84715609
0.59290058,2.54827859,0.39242177,0.8794545
0.62094224,2.30423027,0.4339844,0.92760461
0.49832356,2.81526401,0.35520647,0.81174917
0.53085015,2.6929791,0.37133597,0.82711391
0.70559981,1.89926077,0.52652064,0.97885951
0.49531578,3.00518167,0.33275859,0.81584085
0.45230933,2.94359525,0.33972062,0.74006693
0.49358077,2.54082325,0.39357322,0.77080361
0.48469506,2.65070707,0.37725783,0.78519673
0.40867885,2.71493658,0.36833273,0.69348913
0.47288536,2.53507462,0.39446571,0.81249832
0.52221582,2.58672569,0.38658912,0.83964553
0.44899465,2.8581284,0.34987931,0.7262405
0.46494908,2.9836159,0.33516379,0.78648342
0.52716057,2.42135057,0.41299265,0.78826478
0.39446635,2.91105529,0.34351804,0.67372934
0.54675771,2.18281571,0.45812388,0.86464118
0.47790702,2.66966922,0.37457824,0.78965685
0.52230871,2.28374114,0.437878,0.82367431
0.65860073,2.05856586,0.48577508,0.91479074
0.44836983,2.81463244,0.35528618,0.72540899
0.43161244,3.05001302,0.32786745,0.72840223
0.4540248,3.03314843,0.32969043,0.76893957
0.4738215,2.75727385,0.36267707,0.74461192
0.41325022,2.96263554,0.3375373,0.69944539
0.5237222,2.56557006,0.38977692,0.79665363
0.41036791,2.68940475,0.37182949,0.69368021
0.50926591,3.03184696,0.32983195,0.83019462
0.45969854,3.05008604,0.3278596,0.75612862
0.40062912,2.67288488,0.3741276,0.68011209
0.47878626,2.23651507,0.4471242,0.73961441
0.47816514,3.08103112,0.32456667,0.76787462
0.54328659,2.15996762,0.4629699,0.8357712
0.61198699,2.54920423,0.39227928,0.92152589
0.54685661,2.23910901,0.44660621,0.84402197
