id,imagej_0,imagej_1,imagej_2,imagej_3,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,efd_0,efd_1,efd_2,efd_3,efd_4,efd_5,efd_6,efd_7,efd_8,efd_9,efd_10,efd_11,efd_12,efd_13,efd_14,efd_15,efd_16,efd_17,efd_18,efd_19,efd_20,efd_21,efd_22,efd_23,efd_24,efd_25,efd_26,efd_27,efd_28,efd_29,efd_30,efd_31,efd_32,efd_33,efd_34,efd_35,efd_36,efd_37,efd_38,efd_39,skel_0,skel_1,skel_2,stone
F616,0.5638623416548291,1.3213943934537085,0.627919089124949,0.8229435069101427,3.10700496793167,7.3458628449326495,9.738023729011237,10.767988510578121,21.022041773990274,14.4480936174028,-22.17989202461545,1.0,-8.923636517527356e-17,7.577227786438834e-17,0.4416563124902088,0.068294039806215,-0.15018557171559963,0.028155776185046208,-0.19536406757974828,0.11083588561519614,-0.0008171059662097682,0.05790490008495673,0.09283908778402578,0.027043371612300207,-0.0005759680911270358,0.008366588175633146,0.04248319954922032,-0.008767787962225332,-0.02252011609744282,-0.03934186745563908,0.005362778549871121,0.01946082150580332,-0.021917555599857804,0.009712578339442663,-0.000167753869315528,0.012883971414750752,-0.006387345321556377,0.005288789867435559,0.0007966639225819371,-0.0041566834555446346,-0.0010007082419091224,-0.005407132600981965,0.010158159186019072,0.0015059562336762848,-0.008068221954399405,0.004416470992752406,-0.002405595853542044,-0.002143718672388696,-0.0064537024266172974,0.0002180169424701767,0.00043986524815640786,63.210158945056314,0.3483199088562006,0.07291666666666667,53
F602,0.32570478571191414,2.342542167117866,0.22942889797057156,0.5757918907867007,2.7936953723167277,5.9075363361425755,8.454453768368461,8.947518628571498,17.651825923689007,11.90725632872847,-18.557899659676682,-1.0,-4.7335301873559254e-17,-6.929961800925633e-17,-0.13369469973949213,0.06338368823440546,0.03307116564074321,-0.08449427448388173,-0.06761397998142696,-0.0707043840361538,0.01818671161515389,-0.029439470337090403,-0.09303913815140807,0.03279162956889456,0.02228571181931288,-0.014832985654857168,-0.04194333830926284,-0.01772441531816372,0.007792851920979379,0.0006681700873145728,-0.042077247945048225,0.015130927697576933,0.006714521475416923,0.007180510095754106,-0.0066502068918626155,-0.007409680141709326,-0.0044020719580488395,0.004219994781974758,-0.00513785392093328,0.009934096745333675,-0.002166665922433334,0.0014870385908779564,0.009472897447284905,-0.0023153357999336466,-0.006415938530553407,-0.00032295360272078643,0.00047895907543488413,0.006105956138290235,-0.001861719106458376,0.0034475388510560793,0.007699384391723915,34.206299127145314,0.3086006086527232,0.16058394160583941,53
F623 - 540wide,0.5553174687231175,1.2165811576627803,0.6645165980227367,0.7989108751496147,3.1040741604637825,7.6344674826084455,9.61601970698996,12.885859859350926,-24.720309016641792,-16.808292615662957,-24.152108927655597,-1.0,1.1975951151747705e-18,-4.1438324566205964e-18,-0.0040166537371611605,-0.023632512448572573,-0.06281508492668861,-0.061557678911576284,-0.13030470779523487,-0.09057467989022241,0.014761778667322478,-0.06201006750653781,0.0630876778560521,-0.004354592611746788,-0.03666933301244029,0.01918756119633034,-0.014317604160765676,-0.025177125910400472,0.0016374602260854402,-0.022862835117197194,0.009081869912595783,-0.00782400017767911,-0.023807807729836303,0.0068556700381872775,0.002893201192901888,-0.009832544712462785,0.001957259649559718,-0.0035450506037229567,-0.002185425834938544,-0.005533828437046866,-0.013661831673741175,-0.003890205468746825,0.0017573455801746392,-0.0016068768009925914,0.00048680701094620186,0.0029938258964281946,-6.040026732446778e-05,-0.0035443647618710297,-0.009273471680548966,-0.006828647653136071,-0.002311161520562517,78.73454726887124,0.34086031469821837,0.08401084010840108,53
F603,0.5077502636053198,1.8587315204783796,0.4073098460942795,0.7562255035464353,3.005271991290999,6.5281550121535465,9.336170745128939,10.256062391677428,20.062209112521824,13.525067327179915,-20.72489812356183,1.0,-2.9703238174895874e-17,9.237842386790217e-17,0.28242436567739015,0.10054034570855075,-0.07508092045978047,0.09264164545448261,-0.161189947299382,0.07211575527896445,0.031945255592617926,0.013240018865920732,0.12809235159418825,0.02361390131386778,-0.020465218461063004,-0.015852866898558773,-0.020647278718950574,0.020330755947614063,-0.016212486037521692,0.010487026059437146,-0.0008275545810641442,0.022056248469523396,0.009239209929676872,0.00876232170048824,0.02535738545243945,-0.003188794172169731,-0.011923551996988701,-0.007778748686891583,-0.007081015057791568,0.012227587995365944,-0.004522304493163132,0.006051882890382518,0.007859691445245754,0.005713621061288652,0.0007547502438067207,0.005157809071936361,0.002807018066575152,-0.002263919917113818,-0.0051630812360414615,-0.0023536169735439687,0.004140996945599657,58.04647388895072,0.21796808078788213,0.0,53
F617,0.48178696525257586,1.5695512355674548,0.4680996204339715,0.7439586093759859,3.028125254093522,6.8044984952800505,9.290487019489104,10.06390585707553,19.746773651585496,13.467087670562366,-20.53546549611197,1.0,1.804181805210051e-17,-1.0885208328827141e-16,0.3252366513618899,0.10472700458212726,-0.10662108884724215,0.047024643156100956,-0.22739063133636278,0.07914125982778492,0.029746334962448533,0.065669541292681,0.09856098319852884,0.0296581935282241,-0.02125303384805435,-0.009182969951494072,0.005160372897631796,0.008079617282420666,-0.01933739111337734,-0.005665312696204839,-0.01112752417328427,0.03189835840249499,-0.004238732545341264,0.02509787084957251,0.017273010585713816,-0.00011546455149773985,-0.005435812094331765,-0.010223380088811823,0.0047516620361648726,0.005323812317907104,-0.006693295354936179,0.00010459111677298255,0.004968891515649863,0.009461539817843829,-0.008559024975147687,0.0034991532344757228,0.001595030396541875,-0.00029740903066408173,-0.0004128619766334155,-0.007296395768207974,0.002521911998328892,52.95222132184829,0.30142389551138177,0.13904761904761906,53
F629,0.4548546957969965,1.6757031374312144,0.40488091735761217,0.728805321053978,2.980776745003047,6.608555310028847,9.020137448976842,9.792384451523757,19.261975101196708,13.181763794575268,-19.497114668589745,1.0,2.47113459867796e-17,-6.3530929203155e-17,0.14770190011510928,0.07417925762156742,-0.06357261999768304,0.13068879425007493,-0.15355409460129976,0.08008684821172493,0.02017894845508008,0.0004076984351321424,0.122909175125348,0.02260492601348112,-0.01944036101124709,-0.004511952111973715,-0.034065441712897236,0.022656596093455383,-0.012343035863215418,0.003782619985904069,0.010576746918198328,0.01821205801431578,0.003918739020471139,0.00523061550491673,0.007552908196167143,0.0035006657313829542,-0.013770263184614636,-0.00071905121338671,-0.0012663589892823967,0.0119392486897427,0.001003890789614085,-0.003985297606217463,0.009589987728192013,0.0027247233524913153,-0.006839252512326884,0.0008708790264385115,-0.005642894358375309,0.0048335927417752006,-0.0031669564760712574,-0.0017733038259835907,0.002961162423869063,52.01821188282841,0.32149770038854686,0.16819012797074953,53
F601,0.3307913351358378,1.360130462828323,0.4451160209467927,0.6587287608177452,2.966546421930048,6.9839770721052075,9.02234390063874,9.96437340108198,19.473014232142496,13.45970748498146,20.04161283041605,-1.0,5.415133465622295e-17,-6.984665104027336e-17,-0.29755912240480065,0.15319910845041412,0.15016095065680626,-0.2096927539870166,-0.24404067778216185,-0.07321207506862029,0.02423741329800312,-0.01433611740230319,-0.14098301906188324,0.02316269002176759,0.025179602434621647,0.014584294171010774,-0.03152291251425388,-0.03469862238406054,-0.041618374814607395,0.025285811988968572,0.037869915794310476,0.01867344814520842,-0.016381237044100997,-0.015079881979064246,0.0210011253384883,0.0023949080335919698,-0.017622881987696522,0.020579414990881322,-0.003706568162717771,0.009751448102854006,0.0167741005072506,0.010340110290990686,0.013924926321635988,-0.00668674925094479,0.0012120876307225123,-0.005779811731800525,-0.003659105081092341,0.00253578299581366,0.009608503228565641,6.388439979499137e-05,-0.007195821145602351,42.70227754247199,0.2506301231326304,0.13149847094801223,53
F615,0.3750391281706581,2.440347801627022,0.2615168567769207,0.6453916243210093,2.8558374819643495,6.006166924591432,8.851200967747824,9.505292467042162,18.686942644280954,12.512470744798982,-19.587655534065206,1.0,2.4553859809924396e-18,-7.873424615416174e-18,0.07697680970762624,0.0654670969040308,-0.038233676920943684,0.11776148196430174,-0.07873178949560297,0.06805889524560037,0.0136736950948965,-0.028551507940012353,0.09890447760581728,0.03564006893151433,-0.0218811944198205,0.015039156243852301,-0.03767121446682238,0.014418830255193214,0.0010856984418786961,-0.007923664984859462,0.03357412071295267,0.022088993851813576,-0.006117774866522817,0.001618529269830063,-0.008474844325140672,0.004331210699266065,-0.004165988936361781,-0.0024020549396594525,0.008377971029966354,0.011917462942490669,-0.00015873104374835675,-0.0028499825497940645,0.0006234946401577371,0.0028157703946001264,-0.004761053910740422,0.0034828745390731728,0.0007704107073020129,0.004099577089750919,-0.00012620480936323115,-0.007072695394255875,0.004162587669444895,39.07232963461235,0.32824546898669477,0.09739130434782609,53
F614,0.37844252679019647,1.124844375431956,0.6178525302488986,0.6391356988029447,3.043698849185924,7.950247294949996,9.571044901417038,10.16107264316225,20.034387722347443,14.766550539673869,-20.76876880228928,1.0,-4.296569862392829e-18,-6.132062294659796e-17,0.31802902492983404,0.13169120616252342,-0.16547065281672663,0.1218806969388027,-0.290755512964957,0.09173643700945797,0.04913983756687864,0.0710085570274162,0.09742051117559657,0.00866961628694291,-0.03100426218496342,0.006126261283165093,0.023703950937025826,0.018628707496629482,-0.03243437027542048,-0.010250787279933015,-0.027115875075913374,0.025738635536037183,-0.004616064322983407,0.01878255524547228,0.02068549404513927,0.0001761618577849236,-0.007394358773710238,-0.002311991694684576,-0.009197602980711359,0.004299903840281716,-0.01548316909179993,0.0048080066336308545,-0.0009081038980500083,0.007916052294596567,-0.001056267011973039,0.0074774247825767975,0.0073502563635092465,-0.00490070332134775,-0.008713269999975647,-0.0020292958383145306,-0.00420370646004247,46.28614738435987,0.5446712860328172,0.33428165007112376,53
F600,0.3212384076826105,3.5827250766079084,0.21530216318587414,0.683143159628279,2.806217394691959,5.748046842605414,9.350288532690398,9.742304577078377,19.29623479353319,12.658767686277551,-20.019417488129086,-1.0,5.552826144170245e-17,-6.178494252220392e-17,-0.15456918005117704,0.027111624469423033,0.09279252011020461,0.029393541843275407,-0.027793281964941217,-0.11585416073560359,0.009394370874266623,-0.019162285088271603,0.013983932703615063,0.011205155802420602,0.022203494748813404,-0.06101173717395723,-0.01683609074569089,-0.024908535217058807,-0.002646763240295661,-0.017293183424457223,-0.05187860294681866,0.014868522717808464,0.013714808001641392,0.0030210918192111707,-0.017839476330930817,-0.003745659590682929,0.0015312017074584929,-0.0032756174078228794,-0.007904267708722013,0.006249223263034154,0.013384225826749356,-0.011045613307812804,-0.005628269650147925,-0.005796643384749409,-0.0027435469206058285,-0.0041798757006250775,-0.012310771891333876,0.0028295280026551994,0.0023701300200293027,0.00021905960967263024,-0.006266328633359871,30.044086390799748,0.28742066864932553,0.0673076923076923,53
