short_id,id,nearest_axe_id,nearest_axe_dist
F596,F596.tif,Le1-2,1.8946734784312445
F597,F597.tif,Le1-2,2.5541539318339024
F600,F600.tif,110,1.5176698796438743
F601,F601.tif,426,1.8981011697780448
F602,F602.tif,42,1.2700113397900492
F603,F603.tif,28,1.3167101044824192
F604,F604.tif,Wi8,1.3716923447073281
F605,F605.tif,28,1.754465681781259
F606,F606.tif,36,0.6583277935447915
F607,F607.tif,28,1.9364594173332375
F608,F608.tif,28,1.438583702056693
F609,F609.tif,89,2.4363949646916274
F610,F610.tif,Ca43,1.034155787822177
F611,F611.tif,83,2.4951790955749327
F612,F612.tif,28,2.055368425633266
F613,F613.tif,Ca43,1.444372287136916
F614,F614.tif,93,2.4450237225436826
F615,F615.tif,Ca43,1.1730942994352849
F616,F616.tif,28,2.0097008811058745
F617,F617.tif,93,1.5993684528142116
F618,F618.tif,Ca43,1.5358377336164646
F619,F619.tif,Ca29,1.607965582829882
F620,F620.tif,28,1.8668309332497766
F621,F621.tif,Le1-2,1.9488195438077047
F622,F622.tif,28,2.103789505844092
F623 - 540wide,F623 - 540wide.tif,28,2.7081545501387185
F624,F624.tif,28,1.9741740659789822
F625,F625.tif,426,1.132544166977612
F626,F626.tif,Ca29,1.4218493058258617
F627,F627.tif,28,2.6783660387194246
F628,F628.tif,28,1.9568868378114213
F629,F629.tif,28,1.7370673015430216
F630,F630.tif,21,1.712038445553561
F631,F631.tif,Ca43,1.2397757814701598
F632,F632.tif,28,3.079049658295679
F634,F634.tif,Le1-2,1.9006828189428053
F636,F636.tif,28,1.3136613063006959
F637,F637.tif,NF27,1.8078524531304954
F638,F638.tif,28,1.519500713923919
F720,F720.tif,93,2.039781987335107
F720,F720.tif,93,2.039781987335107
