Type,Label,Area,X,Y,XM,YM,Perim.,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Image Name,L,DE,LB,WB,W2,W3,WE,LC,LCP,MO,flag,RWB = WB/WE,RWBʹ = WB/L,RWE = WE/L,RDE = DE/WE,EH = (W2-WB)/LB),RW3 = W3/LB,RMO = MO/LC,ASC = LC ́/LC,MRW = (WB+W2+W3)/LB
Axe,1002.tif,55535,115.086495,169.11102,115.086495,169.11102,1138.39906,229,400,419.526091,168.545794,90.0665225,0.53850232,410.993917,14161425,14161425,75,399,74.475889,225.123123,2.48909261,0.40175283,0.84310645,1002.tif,400,40,331.5,99,123,170,229,337.92,161.067,21,0,0.43231441,0.2475,0.5725,0.17467249,0.07239819,0.51282051,0.06214489,0.4766424,1.18250377
Axe,1004.tif,64498,130.517008,171.328506,130.517008,171.328506,1156.36457,260,400,414.335123,198.200441,90.6111745,0.60613108,402.442543,16446990,16446990,114,399,78.2433259,253.497804,2.09048537,0.47835781,0.86648351,1004.tif,400,58.5,286,124,146,203,260,294.332,137.893,23,0,0.47692308,0.31,0.65,0.225,0.07692308,0.70979021,0.07814305,0.46849476,1.65384615
Axe,1005.tif,73761,147.666497,173.238914,147.666497,173.238914,1199.4184,298,400,407.121094,230.681788,90.3717273,0.64431056,409.664497,18809055,18809055,80,6,106.886791,285.942124,1.76486014,0.56661714,0.88394221,1005.tif,400,83.5,304.5,115,163,221,298,318.095,197.439,23.5,0,0.38590604,0.2875,0.745,0.28020134,0.15763547,0.72577997,0.0738773,0.62069193,1.63875205
Axe,1006.tif,42198,81.9241433,180.478411,81.9241433,180.478411,998.399062,158,400,425.172945,126.367783,90.5281512,0.53197767,400.660704,10760490,10760490,70,0,93.2908837,157.345546,3.36456759,0.29721501,0.90304632,1006.tif,400,58,315.5,79,101,120,158,318.045,211.67,13.5,0,0.5,0.1975,0.395,0.36708861,0.06973059,0.38034865,0.04244682,0.66553475,0.95087163
Axe,1007.tif,45050,116.693829,168.57889,116.693829,168.57889,1163.63665,239,400,400.83404,143.100226,88.5457321,0.41809009,401.199452,11487750,11487750,100,400,85.5684353,231.77076,2.80107203,0.35700617,0.71517586,1007.tif,400,77,304,73,93,107,239,315.308,244.297,50,0,0.30543933,0.1825,0.5975,0.32217573,0.06578947,0.35197368,0.15857511,0.77478846,0.89802632
Axe,1008.tif,62421,133.511374,163.188711,133.511374,163.188711,1159.87929,264,400,400.677073,198.35646,90.4570385,0.58306235,404.526884,15917355,15917355,110,398,74.0740594,256.238754,2.019985,0.49505318,0.89448871,1008.tif,400,44.5,337.5,86,143,205,264,349.175,155.143,17,0,0.32575758,0.215,0.66,0.16856061,0.16888889,0.60740741,0.04868619,0.44431302,1.28592593
Axe,1009.tif,44129,114.517358,161.495921,114.517358,161.495921,1088.60721,230,400,388.869346,144.487573,90.2969073,0.46794147,400.211194,11252895,11252895,112,400,88.1385424,223.571993,2.6913688,0.37155814,0.74385166,1009.tif,400,66.5,302.5,74,88,117,230,312.52,214.374,41,0,0.32173913,0.185,0.575,0.28913043,0.04628099,0.38677686,0.1311916,0.6859529,0.92231405
Axe,1010.tif,43856,87.0814712,177.353635,87.0814712,177.353635,1031.7544,179,400,422.827471,132.061413,89.2653793,0.5177096,400.604543,11183280,11183280,82,400,86.8519039,177.800163,3.2017488,0.31232931,0.84715609,1010.tif,400,45.5,315.5,88,102,124,179,318.861,221.323,21.5,0,0.49162011,0.22,0.4475,0.25418994,0.04437401,0.39302694,0.0674275,0.69410495,0.99524564
Axe,1012.tif,58168,102.189245,187.481588,102.189245,187.481588,1110.34019,213,400,434.43077,170.480092,89.567719,0.59290058,401.204437,14832840,14832840,76,1,96.009006,211.186938,2.54827859,0.39242177,0.8794545,1012.tif,400,42.5,326.5,120,146,142,213,329.885,258.147,26.5,0,0.56338028,0.3,0.5325,0.19953052,0.07963247,0.43491577,0.08033102,0.78253634,1.24961715
Axe,1014.tif,60753,112.720351,178.160725,112.720351,178.160725,1108.82547,225,400,422.184089,183.221311,90.9049998,0.62094224,403.788311,15492015,15492015,84,0,98.8324673,221.52858,2.30423027,0.4339844,0.92760461,1014.tif,400,54,327.5,107,146,185,225,332.863,175.342,12,0,0.47555556,0.2675,0.5625,0.24,0.11908397,0.5648855,0.03605087,0.52676927,1.33740458
Axe,1016.tif,45475,106.469918,163.839967,106.469918,163.839967,1070.8671,208,400,403.739255,143.410797,90.5426012,0.49832356,401.442399,11596125,11596125,84,0,94.8584629,204.655275,2.81526401,0.35520647,0.81174917,1016.tif,400,52.5,324,74,93,138,208,330.989,193.108,27,0,0.35576923,0.185,0.52,0.25240385,0.05864198,0.42592593,0.08157371,0.58342724,0.94135802
Axe,1017.tif,52719,112.486969,174.786292,112.486969,174.786292,1117.12698,222,400,425.162677,157.878194,90.4824256,0.53085015,403.633497,13443345,13443345,74,397,73.0016348,219.196402,2.6929791,0.37133597,0.82711391,1017.tif,400,44,340,98,119,150,222,345.703,228.753,24.5,0,0.44144144,0.245,0.555,0.1981982,0.06176471,0.44117647,0.07087008,0.66170383,1.07941176
Axe,1021.tif,71306,119.861611,181.562365,119.861611,181.562365,1126.90873,244,400,415.250721,218.638077,89.8531651,0.70559981,401.277959,18183030,18183030,97,0,94.5739213,240.415616,1.89926077,0.52652064,0.97885951,1021.tif,400,85,283,123,183,214,244,289.5,196.921,4.5,0,0.50409836,0.3075,0.61,0.34836066,0.21201413,0.75618375,0.01554404,0.68021071,1.83745583
Axe,1022.tif,45971,101.925529,176.010735,101.925529,176.010735,1079.95541,203,400,419.403838,139.560228,90.0844185,0.49531578,400.604543,11722605,11722605,84,0,93.1480961,200.405064,3.00518167,0.33275859,0.81584085,1022.tif,400,59,319,81,112,119,203,324.783,271.843,32.5,0,0.39901478,0.2025,0.5075,0.29064039,0.09717868,0.37304075,0.10006681,0.83699886,0.97805643
Axe,1023.tif,42794,107.772048,166.0859,107.772048,166.0859,1090.38182,216,400,400.484348,136.05279,90.1352101,0.45230933,401.049872,10912470,10912470,98,400,85.8533112,211.962186,2.94359525,0.33972062,0.74006693,1023.tif,400,69,303,77,92,104,216,311.096,234.085,42,0,0.35648148,0.1925,0.54,0.31944444,0.04950495,0.34323432,0.13500656,0.75245262,0.9009901
Axe,1024.tif,53493,124.572795,173.222936,124.572795,173.222936,1167.00924,255,400,415.997541,163.725494,89.5557707,0.49358077,403.050865,13640715,13640715,94,1,98.1301024,248.452641,2.54082325,0.39357322,0.77080361,1024.tif,400,62.5,319,92,119,133,255,329.381,255.567,45.5,0,0.36078431,0.23,0.6375,0.24509804,0.0846395,0.4169279,0.1381379,0.77590086,1.07836991
Axe,1028.tif,46868,117.396369,164.226615,117.396369,164.226615,1102.32294,232,400,397.716985,150.041847,90.7106667,0.48469506,400.244925,11951340,11951340,108,0,92.004534,224.576649,2.65070707,0.37725783,0.78519673,1028.tif,400,61,321,65,103,127,232,331.834,251.17,36,0,0.28017241,0.1625,0.58,0.26293103,0.11838006,0.39563863,0.10848798,0.7569146,0.91900312
Axe,1029.tif,42376,118.594299,159.04217,118.594299,159.04217,1141.49452,239,400,382.732096,140.972757,89.7798539,0.40867885,400.910214,10805880,10805880,111,400,86.1383926,231.329724,2.71493658,0.36833273,0.69348913,1029.tif,400,75.5,305,61,81,98,239,317.865,236.571,52,0,0.25523013,0.1525,0.5975,0.31589958,0.06557377,0.32131148,0.16359146,0.74424992,0.78688525
Axe,1031.tif,45363,112.979069,151.695865,112.979069,151.695865,1097.93817,226,400,382.649647,150.942163,89.9905187,0.47288536,402.492236,11567565,11567565,108,400,79.6951535,219.942302,2.53507462,0.39446571,0.81249832,1031.tif,400,33.5,348.5,53,95,156,226,359.085,183.96,23.5,0,0.23451327,0.1325,0.565,0.14823009,0.1205165,0.44763271,0.06544411,0.5123021,0.8723099
Axe,1035.tif,50359,106.789482,166.631397,106.789482,166.631397,1100.82547,219,400,407.257223,157.441211,88.4003319,0.52221582,402.120629,12841545,12841545,103,400,82.8573107,213.652804,2.58672569,0.38658912,0.83964553,1035.tif,400,44.5,309.5,86,118,161,219,316.776,195.502,19,0,0.39269406,0.215,0.5475,0.20319635,0.10339257,0.52019386,0.05997929,0.61716165,1.17932149
Axe,1038.tif,43813,116.590955,166.076404,116.590955,166.076404,1107.35238,228,400,399.298265,139.706202,90.0687085,0.44899465,400.450996,11172315,11172315,108,400,87.2804945,222.111507,2.8581284,0.34987931,0.7262405,1038.tif,400,67,308,77,89,114,228,317.251,228.685,42,0,0.3377193,0.1925,0.57,0.29385965,0.03896104,0.37012987,0.13238729,0.72083303,0.90909091
Axe,1040.tif,45723,103.261127,174.790401,103.261127,174.790401,1111.6539,209,400,416.767529,139.685383,89.4981812,0.46494908,401.442399,11659365,11659365,94,400,85.1415371,205.108455,2.9836159,0.33516379,0.78648342,1040.tif,400,74,302.5,82,105,113,209,309.203,269.35,37,0,0.3923445,0.205,0.5225,0.35406699,0.07603306,0.37355372,0.11966249,0.87111056,0.99173554
Axe,1045.tif,53777,124.69103,169.65051,124.69103,169.65051,1132.22244,249,400,407.176009,168.160701,89.5873387,0.52716057,401.782279,13713135,13713135,103,399,82.1320729,240.893834,2.42135057,0.41299265,0.78826478,1045.tif,400,73.5,311,91,112,143,249,321,212.108,38.5,0,0.36546185,0.2275,0.6225,0.29518072,0.06752412,0.45980707,0.11993769,0.66077259,1.11254019
Axe,1049.tif,37871,108.440165,155.917655,108.440165,155.917655,1098.38182,216,400,374.656846,128.701384,90.0591255,0.39446635,400.780489,9657105,9657105,88,0,93.5763344,211.248529,2.91105529,0.34351804,0.67372934,1049.tif,400,73,304,62,69,86,216,313.6,220.242,49.5,0,0.28703704,0.155,0.54,0.33796296,0.02302632,0.28289474,0.15784439,0.7023023,0.71381579
