ArtefactID,Image,BasicObject,Object,Typology,BasicType,SiteNameFull,County,Region,Lon,Lat,MetalAssemblage,MusAcc,CatalogueIDs,PublishTypes
376,376.jpg,Flat Axe,Flat Axe,II/2D,Class 2,"Paul, Penolva (Stitches Field)",Cornwall,Southwestern England,-5.551279607,50.08849656,MA 1 and 2,"Penlee House Gallery and Museum, Penzance PEZPH : 84/42",Needham1983:Cw5;Pearce183:114;Needham2017:16;Knight2018:PHGM-F001,Needham2017:Class 2D (Halberton type)
377,377.jpg,Low-flanged Axe,Low-flanged Axe,Class 4Ec,Class 4,Penquite,Cornwall,Southwestern England,-4.644431,50.366732,MA 4 and 5,"Royal Cornwall Museum, Truro TRURI : 1919.2",Needham1983:Cw11;Pearce1983:133,Needham1983:Class 4Ec
385,385.jpg,Flat Axe,Flat Axe,II/2B,Class 2,"Bridestowe, Burley Camp",Devon,Southwestern England,-4.130336064,50.66812604,MA 1 and 2,Plymouth City Museum and Art Gallery PLYMG : 379,Needham1983:Dv1;Pearce1983:195;Needham2017:4;Knight2018:PCMAG-F002,Needham2017:Class 2A (Burley Camp type)
396,396.jpg,Flat Axe,Flat Axe,II/2D,Class 2,"Halberton, Rowridge Farm",Devon,Southwestern England,-3.435261725,50.89189956,MA 1 and 2,"Royal Albert Memorial Museum, Exeter EXEMS : 38/1936","Needham1983:Dv5,Dv10;Pearce1983:239;Needham2017:15",Needham2017:Class 2D (Halberton type)
398,398.jpg,Flat Axe,Flat Axe,II/2B,Class 2,"Hayne, Old Cleeve",Somerset,Southwestern England,-3.385301441,51.12451675,MA 1 and 2,Somerset County Museum (Taunton Castle) TTNCM : 80D,Rowlands1976:113;Needham1983:So5/1;Pearce1983:700;Knight2018:TTNCM-F023a,Needham2017:Class 2B (Lode type)
407,407.jpg,Flat Axe,Flat Axe,Class 3B/D,Class 3,Wellington (near Wellington Monument?),Somerset,Southwestern England,-3.232771595,50.9504191,MA 3,Somerset County Museum (Taunton Castle) TTNCM : unknown,Needham1983:So10,Needham1983:Class 3B/D
410,410.jpg,Low-flanged Axe,Low-flanged Axe,Class 4Ea,Class 4,"Cross Dyke and Blackbury Camp  (near), Southleigh",Devon,Southwestern England,-3.152289197,50.71787643,MA 4 and 5,"Royal Albert Memorial Museum, Exeter EXEMS : 400",Needham1983:Dv12;Pearce1983:297;Knight2018:RAMM-F034,Needham1983:Class 4Ea
412,412.jpg,Flat Axe,Flat Axe,,Class 3,"Staple Fitzpaine, Castle Neroche",Somerset,Southwestern England,-3.0331093,50.93437128,,Somerset County Museum (Taunton Castle) TTNCM : 1B,Needham1983:So8;Pearce1983:742;Knight2018:TTNCM-F052,Needham1983:Class 3C
424,424.jpg,Low-flanged Axe,Low-flanged Axe,Class 4Ea,Class 4,"Winterbourne Steepleton, Glebe Farm",Dorset,Southwestern England,-2.532396684,50.70392127,MA 4 and 5,Dorset County Museum DORCM : 1892.30.1,Needham1983:Ds14;Pearce1983:513;Knight2018:DCM-F016;Needham2017:61,Needham2017:Class 4E (Glebe Farm type)
426,426.jpg,Flat Axe,Flat Axe,Low Flanged,Class 4,"Weymouth, Ridgeway, Barrow G8, Grave Group B",Dorset,Southwestern England,-2.48632,50.678179,MA 4 and 5,Dorset County Museum DORCM : 1884.9.20,Needham1983:Ds11/1;Pearce1983:471;Knight2018:DCM-F043,Needham1983:Class 4Ec (Hilgay style?)
427,427.jpg,Flat Axe,Flat Axe (diminutive),II/2D,Class 2,"Weymouth, Jordan Hill",Dorset,Southwestern England,-2.4263267,50.64095845,MA 1 and 2,Dorset County Museum DORCM : 1885.16.2,Needham1983:Ds9;Pearce1983:479;Needham2017:19;Knight2018:DCM-F021,Needham2017:Class 2D (Halberton type)
430,430.jpg,Flat Axe,Flat Axe,Class 3Ab,Class 3,Lansdown,Avon,Southwestern England,-2.39682245,51.41484488,MA 3,"British Museum BM : 1964,1206.11",Pearce1983:691;Needham1983:Av8;RohlNeedham1998:38;Needham2017:24,Needham2017:Class 3A (Lansdown type)
435,435.jpg,Flat Axe,Flat Axe,Class 4D,Class 4,"Bere Regis, Muddox Barrow (near)",Dorset,Southwestern England,-2.210529266,50.76924503,MA 4 and 5,Dorset County Museum DORCM : 0.51.1,Needham1983:Ds2;Pearce1983:341;Knight2018:DCM-F028,Needham1983:Class 4D
450,450.jpg,Flat Axe,Flat Axe,3-1??,Class 3,Hindlow,Derbyshire,Central England,-1.8729,53.2203,MA 1 and 2,"Hunterian Museum, Glasgow GLAHM : B.1914.269 (formerly B11)",Needham1983:Dy7/1,Needham1983:Class 2/3A
454,454.jpg,Flat Axe,Flat Axe,Class 3E/F,Class 3,Parwich Moor,Derbyshire,Central England,-1.7205,53.0873,MA 3,"British Museum BM : 1964,1206.12",Vine1982:690;Needham1983:Dy14,Needham1983:Class 3E
459,459.jpg,Low-flanged Axe,Low-flanged Axe,Class 3F,Class 3,Highlow,Derbyshire,Central England,-1.669718,53.318272,MA 4 and 5,private ownership,Needham1983:Dy8/1,Needham1983:Class 3F
463,463.jpg,Low-flanged Axe,Low-flanged Axe,Class 3F,Class 3,"Beeley, Burnt Wood",Derbyshire,Central England,-1.598033611,53.19895026,MA 4 and 5,"Weston Park Museum, Sheffield SHEFG : J93.474",Vine1982:682;Needham1983:Dy2,Needham2017:Class 3F (Moot Low type)
471,471.jpg,Flat Axe,Flat Axe,Class 3B (Killaha),Class 3,"Oddington, Thornes Farm (near), Oaklands",Gloucestershire,Southwestern England,-1.675808746,51.915927,MA 3,Cheltenham Art Gallery and Museum CHLGM : 1980:2182,Needham1983:Gs5/1;RohlNeedham1998:43;Needham2017:37,Needham2017:Class 3E (Brithdir type)
