artefact_id,image,area_px,perim_px,width_px,height_px,circularity,aspect_ratio,roundness,solidity,needham_L,needham_DE,needham_LB,needham_WB,needham_W2,needham_W3,needham_WE,needham_LC,needham_MO,object,material,basic_type,suggested_type,published_types,site_name,admin_region,country,longitude,latitude,length_mm,blade_width_mm,butt_width_mm,weight_g,discovery_year,hc_recurve,hc_flair,hc_flat,hc_round,hc_pointed,needham_number
1002,1002.tif,55535,1138.39906,229,400,0.53850232,2.48909261,0.40175283,0.84310645,400,40.0,331.5,99,123,170,229,337.92,21.0,axehead (flat),Cu alloy,Iberian type,Iberian type,Iberian type,,"Devon, England",GB,-3.77813774575687,50.6915715945863,169.5,,,601.0,<1876,,,,,,
1004,1004.tif,64498,1156.36457,260,400,0.60613108,2.09048537,0.47835781,0.86648351,400,58.5,286.0,124,146,203,260,294.332,23.0,axehead (flat/flanged),Cu alloy,Class 4,Class 4,Needham1983:Class 4Ac,,"West Sussex, England",GB,-0.190436993833288,50.877935326498,83.0,,,,1887,0.0,,,,,
1005,1005.tif,73761,1199.4184,298,400,0.64431056,1.76486014,0.56661714,0.88394221,400,83.5,304.5,115,163,221,298,318.095,23.5,axehead (flat/flanged),Cu alloy,Class 4,Class 4,Needham1983:Class 4B/C,,"Devon, England",GB,-3.74700941138621,50.2333555883317,,,,,,0.0,,,,,
1006,1006.tif,42198,998.399062,158,400,0.53197767,3.36456759,0.29721501,0.90304632,400,58.0,315.5,79,101,120,158,318.045,13.5,axehead (flat/flanged),Cu alloy,Class 4,Class 4,Needham1983:Class 4D,,"Kent, England",GB,1.28845908659107,51.1764207379893,92.5,,,,1960,0.0,,,,,
1007,1007.tif,45050,1163.63665,239,400,0.41809009,2.80107203,0.35700617,0.71517586,400,77.0,304.0,73,93,107,239,315.308,50.0,axehead (flanged),Cu alloy (C),Class 5,Class 5,Needham1983:Class 5Cb Reepham;NorthoverND:Long-flanged (Arreton type and cf),,"Shropshire, England",GB,-3.01915657986708,52.9049062881662,122.5,73.0,26.0,407.1,1849,1.0,,,,,
1008,1008.tif,62421,1159.87929,264,400,0.58306235,2.019985,0.49505318,0.89448871,400,44.5,337.5,86,143,205,264,349.175,17.0,axehead (flat/flanged),Cu alloy,Class 3,Class 3,Needham1983:Class 3C,,"Nottinghamshire, England",GB,-1.11897636932548,52.9078131659081,110.0,,,,,0.0,,,,,
1009,1009.tif,44129,1088.60721,230,400,0.46794147,2.6913688,0.37155814,0.74385166,400,66.5,302.5,74,88,117,230,312.52,41.0,axehead (flanged),Cu alloy,Class 5,Class 5,Needham1983:Class 5Ca,,"Greater London, England",GB,-0.324304464430212,51.4453564735082,101.5,,,147.9,<1909,,1.0,,1.0,,
1010,1010.tif,43856,1031.7544,179,400,0.5177096,3.2017488,0.31232931,0.84715609,400,45.5,315.5,88,102,124,179,318.861,21.5,axehead (flanged),Cu alloy,Class 5,Class 5,Needham1983:Class 5F,,"Kent, England",GB,1.11784643481245,51.1811411188004,82.0,38.0,,,1966,,1.0,,,,
1012,1012.tif,58168,1110.34019,213,400,0.59290058,2.54827859,0.39242177,0.8794545,400,42.5,326.5,120,146,142,213,329.885,26.5,axe-chisel (flat/flanged),Cu alloy,Class 4,Class 4,Needham1983:Class 4 (axe-chisel),,"Norfolk, England",GB,0.480141120838414,52.4863968761695,60.5,,,,<1977,0.0,,,,,
1014,1014.tif,60753,1108.82547,225,400,0.62094224,2.30423027,0.4339844,0.92760461,400,54.0,327.5,107,146,185,225,332.863,12.0,axehead (flat),Cu alloy,Class 2/3,Class 2/3,Needham1983:Class 2/3A,,"Kent, England",GB,0.261356997359691,51.2767452026665,133.0,76.0,,440.0,1947,0.0,,,,,
