carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,lda_p_mushroom,rf_p_mushroom,mahal_dist_to_axe_centroid,mahal_dist_to_mushroom_centroid,nearest_centroid
F630,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.002,17.4,5.3,5.3,0.829,1.081,0.925,0.928,0.9986502632720167,0.5766666666666667,10.77777951518271,4.170623785857393,mushroom
F622,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.002,19.6,6.1,5.3,0.568,1.234,0.811,0.764,0.9999523537406503,0.9766666666666667,9.28167308204102,1.6683512173957626,mushroom
F623,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.002,21.7,7.6,5.5,0.609,1.218,0.821,0.779,0.9998740979750357,0.9233333333333333,9.187212819319804,1.9893491635744467,mushroom
F720,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.002,24.5,7.4,7.000000000000001,0.476,1.139,0.878,0.678,0.9999999619053149,0.9833333333333333,12.140114399490226,1.9142441093471447,mushroom
F612,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,24.1,6.800000000000001,7.4,0.599,1.337,0.748,0.773,0.9952245055801056,0.7966666666666666,7.255952727330795,1.656202275663382,mushroom
F616,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.003,25.1,6.6000000000000005,7.8,0.621,1.311,0.763,0.812,0.995242859091986,0.6366666666666667,7.481956894503239,1.862417794431925,mushroom
F621,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,26.200000000000003,7.6,7.8,0.489,1.542,0.649,0.707,0.9835000823848222,0.8266666666666667,5.790970673178708,0.8965105975025058,mushroom
F624,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,27.3,8.200000000000001,8.0,0.514,1.323,0.756,0.715,0.9998679566945556,0.8333333333333334,8.312950834560212,1.067629548344569,mushroom
F628,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.004,29.4,9.0,8.200000000000001,0.523,1.32,0.758,0.731,0.9998348806510937,0.8333333333333334,8.270811553703082,1.1287055463493014,mushroom
F608,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,26.0,7.6,8.200000000000001,0.575,1.396,0.716,0.756,0.9888861130316464,0.95,6.608134862014398,1.4335852650354783,mushroom
F627,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.003,29.299999999999997,8.0,8.4,0.485,1.397,0.716,0.705,0.99960327470831,0.9666666666666667,7.569444825694818,0.800225191406631,mushroom
