species,cap_size_cm,stem_size_cm,habitat,has_ring,psilocybin_activity
Amanita Muscaria,20.0,20.0,,1.0,Strong
Stropharia Aeruginosa,8.0,7.5,,1.0,Unknown
Psilocybe Coronilla,5.0,4.0,,1.0,
Psilocybe Subviscida,2.0,3.5,,0.0,
Stropharia caerulea,7.7,10.0,,1.0,Unknown
Stropharia pseudocyanea,4.0,7.0,,1.0,Unknown
Pluteus salicinus,6.0,7.0,,0.0,.05-.35% Psilocybin
Psilocybe fimetaria,3.5,9.0,Cow/horse dung,1.0,Moderately Active
Gymnopilus purpuratus,6.0,,"dead wood, pig dung",,
Gymnopilus junonius,20.0,27.0,"Under large old trees, silver maple",1.0,?
Inocybe corydalina,5.0,,,0.0,
Panaeolus cinctulus,5.0,8.0,,0.0,
Panaeolus fimicola,3.5,,,,Mild
Pluteus salicinus,8.0,5.0,,,
Psilocybe cyanescens,5.0,,woodchips,,Strong
Psilocybe semilanceata,2.5,,pasture land,,Strong
